event_id,pair,corr_before,corr_after,corr_change
E1,USO-JETS,-0.43,-0.85,-0.42
E1,USO-SPY,-0.16,-0.89,-0.73
E1,USO-XLE,0.87,0.18,-0.69
E1,USO-XLY,0.03,-0.74,-0.77
E1,USO-XLV,0.26,-0.76,-1.02
E1,USO-GLD,0.35,-0.02,-0.37
E2,USO-JETS,-0.79,-0.68,0.10999999999999999
E2,USO-SPY,-0.71,-0.73,-0.020000000000000018
E2,USO-XLE,0.73,0.67,-0.05999999999999994
E2,USO-XLY,-0.72,-0.72,0.0
E2,USO-XLV,-0.62,-0.34,0.27999999999999997
E2,USO-GLD,-0.63,-0.73,-0.09999999999999998
E3,USO-JETS,-0.78,-0.23,0.55
E3,USO-SPY,-0.17,0.5,0.67
E3,USO-XLE,0.84,0.23,-0.61
E3,USO-XLY,-0.63,-0.05,0.58
E3,USO-XLV,-0.65,-0.19,0.46
E3,USO-GLD,-0.35,0.18,0.53
