scenario,strategy,cost,pnl,portfolio_value,return_pct
A_mild_escalation,No hedge,0,-4105,995895,-0.41
A_mild_escalation,Protective put,1631,-5736,994264,-0.57
A_mild_escalation,Collar,-802,-3303,996697,-0.33
A_mild_escalation,Oil call overlay,5795,340,1000340,0.03
B_major_disruption,No hedge,0,-11755,988245,-1.18
B_major_disruption,Protective put,1631,-13386,986614,-1.34
B_major_disruption,Collar,-802,-10953,989047,-1.1
B_major_disruption,Oil call overlay,5795,30330,1030330,3.03
C_deescalation,No hedge,0,1875,1001875,0.19
C_deescalation,Protective put,1631,244,1000244,0.02
C_deescalation,Collar,-802,2677,1002677,0.27
C_deescalation,Oil call overlay,5795,-3920,996080,-0.39
